dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,coordinate_mode,node_count,local_input_channels,context_channels,static_feature_count,pairwise_feature_count,node_state_dim,hidden_state_dim,latent_state_dim,global_state_dim,message_dim,edge_hidden_dim,tau_embed_dim,dropout,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate,hist_loss_weight,aux_turbine_loss_weight,aux_site_loss_weight,consistency_loss_weight
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,20,200,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,250.01828444699478,346.39399448830267,0.1219601389327065,0.1689726803167531,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,21,210,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,253.970121440313,350.5428302118663,0.12388786376782801,0.1709965026397442,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,22,220,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,257.33357351013274,354.45227937353025,0.12552857204890439,0.17290355109686162,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,23,230,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,260.1990907980915,358.25962070557915,0.12692638581558416,0.17476079104838085,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,24,240,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,264.0968450049439,362.0121142818438,0.1288277300595615,0.17659127553723608,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,25,250,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,267.6175209016779,365.7655928573785,0.1305451323767401,0.17842224087507275,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,26,260,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,271.09566497935464,369.4137082411015,0.13224178630058728,0.18020180900042268,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,27,270,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,273.9089721331672,372.8523888083289,0.1336141328684573,0.18187921423506018,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,28,280,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,276.3057812904964,376.3024472259163,0.13478330853617182,0.18356216912723625,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,29,290,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,280.25868733268896,379.525967834533,0.13671155481252736,0.18513461855908486,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,30,300,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,282.64316004545356,382.5748573288567,0.13787471224309988,0.1866218809925874,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,31,310,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,284.9333297053018,385.5270853841754,0.1389918692821881,0.18806199366820162,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,32,320,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,287.7829030842928,388.4627332182948,0.14038190336804135,0.18949401544122418,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,33,330,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,290.0878659041809,391.3129425120299,0.1415062752598751,0.1908843622890687,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
