dataset_id,model_id,model_variant,feature_protocol_id,task_id,window_protocol,baseline_type,hidden_dim,embed_dim,num_layers,cheb_k,teacher_forcing_ratio,patch_len,encoder_layers,ff_hidden_dim,residual_channels,skip_channels,end_channels,gcn_depth,mtgnn_layers,subgraph_size,node_embed_dim,dilation_exponential,propalpha,epoch,train_loss_mean,train_loss_last,val_mae_pu,val_rmse_pu,best_val_mae_pu,best_val_rmse_pu,is_best_epoch,epochs_without_improvement,train_batch_count,train_window_count,val_window_count,device,seed,batch_size,learning_rate,amp_enabled
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,16,0.046071722959912985,0.03275267407298088,0.14305295786249433,0.1973272594268492,0.1427424173642818,0.19703799305699826,false,6,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,17,0.04603684072170049,0.04665975272655487,0.14299998846498918,0.19726518234241483,0.1427424173642818,0.19703799305699826,false,7,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,18,0.04600297685858107,0.035385727882385254,0.1431251954486345,0.197510798241883,0.1427424173642818,0.19703799305699826,false,8,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,19,0.04595723384992098,0.06315787881612778,0.14310337420614017,0.19756253580495822,0.1427424173642818,0.19703799305699826,false,9,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_shared_weight_timexer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,shared_weight_timexer_no_graph,,,,,,24,2,256,,,,,,,,,,20,0.045921246937263106,0.05918225646018982,0.14294571671893666,0.1974172891954184,0.1427424173642818,0.19703799305699826,false,10,30554,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,1,0.0095504282056801,0.0067158970050513744,0.13348209760883617,0.19095680769969595,0.13348209760883617,0.19095680769969595,true,0,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,2,0.008120518148088172,0.0077033499255776405,0.1364628064976103,0.1821704564773837,0.1364628064976103,0.1821704564773837,true,0,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,3,0.007902529026631558,0.009130921214818954,0.11533151776511061,0.16525150273893233,0.11533151776511061,0.16525150273893233,true,0,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,4,0.0077270072385083165,0.006401542108505964,0.11294820149811167,0.16162186737881096,0.11294820149811167,0.16162186737881096,true,0,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,5,0.007608721733401717,0.007157182786613703,0.13655761885391937,0.19049342783613762,0.11294820149811167,0.16162186737881096,false,1,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,6,0.007429676335889079,0.005347454454749823,0.13529787068938254,0.19392606262401813,0.11294820149811167,0.16162186737881096,false,2,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,7,0.007277889740837583,0.008176389150321484,0.12761818542417544,0.1849572674911613,0.11294820149811167,0.16162186737881096,false,3,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,8,0.0071198891450955145,0.006587241310626268,0.13331518759376196,0.19071453417462617,0.11294820149811167,0.16162186737881096,false,4,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_dgcrn_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,dgcrn_dynamic_graph,64,16,2,2,0.5,,,,,,,,,,,,,9,0.006970569858943131,0.0063141267746686935,0.12649261402783415,0.18553185283917237,0.11294820149811167,0.16162186737881096,false,5,5093,325905,47139,mps,3407,64,0.0005,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_chronos_2_zero_shot_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,chronos_2_zero_shot,,,,,,,,,,,,,,,,,,0,,,0.11423764860081512,0.1770247524546414,0.11423764860081512,0.1770247524546414,true,0,0,325905,47139,mps,3407,,,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,1,0.1036943158115186,0.05064128339290619,0.11208406777520745,0.1690805571965352,0.11208406777520745,0.1690805571965352,true,0,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,2,0.09415639913639845,0.08231396228075027,0.11599094219506098,0.17722634840240956,0.11208406777520745,0.1690805571965352,false,1,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,3,0.08824471092907123,0.11761979013681412,0.11848522388002736,0.18155766464680806,0.11208406777520745,0.1690805571965352,false,2,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,4,0.08394173962190381,0.0804552361369133,0.12297635520966083,0.1885266338060385,0.11208406777520745,0.1690805571965352,false,3,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,5,0.080664754698956,0.0784781351685524,0.12453931980756787,0.1918967062961094,0.11208406777520745,0.1690805571965352,false,4,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,6,0.07795103214375608,0.05962317809462547,0.12332665318130721,0.18856863005901825,0.11208406777520745,0.1690805571965352,false,5,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,7,0.07579656226935083,0.07657291740179062,0.1269622083050144,0.19274680717179682,0.11208406777520745,0.1690805571965352,false,6,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,8,0.07399245003161935,0.08730805665254593,0.12659909354524726,0.19272736988165223,0.11208406777520745,0.1690805571965352,false,7,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,9,0.07243915055147117,0.061380237340927124,0.13205995566924,0.20026455740111865,0.11208406777520745,0.1690805571965352,false,8,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,10,0.07113830258900657,0.056691281497478485,0.13134152238601576,0.1993068365636861,0.11208406777520745,0.1690805571965352,false,9,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_itransformer_no_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,itransformer_no_graph,,,,,,,,,,,,,,,,,,11,0.06991099227893711,0.08644729107618332,0.1307098461069305,0.19812089998428456,0.11208406777520745,0.1690805571965352,false,10,5093,325905,47139,mps,3407,64,0.0001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,1,0.10255040745199229,0.049162715673446655,0.10969525278659445,0.16914848423145246,0.10969525278659445,0.16914848423145246,true,0,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,2,0.09629857425968623,0.0903843566775322,0.11062980912365966,0.16977360642313727,0.10969525278659445,0.16914848423145246,false,1,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,3,0.09195994004179467,0.1149996966123581,0.11354192276415367,0.17471079444755522,0.10969525278659445,0.16914848423145246,false,2,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,4,0.08828709895815627,0.08012736588716507,0.11785593122595169,0.17945915509785174,0.10969525278659445,0.16914848423145246,false,3,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,5,0.08511558802126357,0.08343396335840225,0.11805412183983788,0.18086245716924948,0.10969525278659445,0.16914848423145246,false,4,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,6,0.08243896060846512,0.06867337226867676,0.11938610791335807,0.18427497715122174,0.10969525278659445,0.16914848423145246,false,5,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,7,0.08016263904223367,0.07780217379331589,0.12003933491085665,0.18367056202785412,0.10969525278659445,0.16914848423145246,false,6,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,8,0.07832835653028627,0.10431316494941711,0.12416309982452556,0.19185680707937425,0.10969525278659445,0.16914848423145246,false,7,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,9,0.07679518757213707,0.06443601101636887,0.12607990327883406,0.19380315049493219,0.10969525278659445,0.16914848423145246,false,8,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,10,0.07561673650275474,0.052015695720911026,0.12695052673304644,0.19595715297014296,0.10969525278659445,0.16914848423145246,false,9,5093,325905,47139,mps,3407,64,0.001,false
kelmarsh,WORLD_MODEL_BASELINE,world_model_mtgnn_calendar_graph_v1_farm_sync,world_model_v1,next_6h_from_24h,dense_sliding,mtgnn_calendar_graph,,,,,,,,,32,64,128,2,4,4,16,2,0.05,11,0.07453074234259688,0.09783948212862015,0.12666067985584528,0.19533447307861712,0.10969525278659445,0.16914848423145246,false,10,5093,325905,47139,mps,3407,64,0.001,false
