dataset_id,model_id,model_variant,task_id,history_steps,forecast_steps,source_repo,source_commit,source_file,model_class,adapter_class,train_script,search_config_id,seed,selection_metric,feature_budget_id,output_parameterization,uses_target_history,uses_local_history,uses_global_history,uses_future_calendar,uses_static,uses_pairwise,uses_future_target,selected_by,no_test_feedback,test_evaluated_at,split_name,eval_protocol,metric_scope,lead_step,trial_id,trial_status,trial_blocker,alpha,formal_search_config_id,is_best_validation_trial,gate_a_passed,gate_b_passed,gate_c_passed,runtime_seconds,window_count,prediction_count,mae_pu,rmse_pu,mae_kw,rmse_kw,lead1_mae_pu,lead1_rmse_pu,short_rmse_pu,mid_rmse_pu,long_rmse_pu,ae_p50,ae_p90,ae_p95
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_0.1,completed,,0.1,ridge_b0_alpha_0.1,false,true,false,true,53.89143591397442,1310,281787,0.11497128783124559,0.16324918866912133,235.69114005405345,334.6608367716987,0.04372078934450274,0.07156638573482664,0.10413378058824517,0.149850594917621,0.18632585382699773,0.07606714591383934,0.26951472163200374,0.3589323163032533
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_0.1,completed,,0.1,ridge_b0_alpha_0.1,false,true,false,true,53.89143591397442,94458,20300940,0.11812426161284542,0.1696576846342821,242.15473630633312,347.7982535002783,0.04467067576066124,0.07189592459503083,0.10661635773485334,0.15406561164056665,0.1948186392655,0.07754895836114883,0.2777797222137455,0.37381700128316886
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_0.1,completed,,0.1,ridge_b0_alpha_0.1,false,true,false,true,53.89143591397442,2624,563951,0.11681916462837542,0.16827168128466063,239.47928748816963,344.9569466335543,0.04517627752254714,0.07258113812028491,0.1061701894393997,0.15285736144710807,0.1931390416347533,0.07628798484802246,0.27617089450359344,0.3706477265805006
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_1,completed,,1.0,ridge_b0_alpha_1,false,true,false,true,54.87104722298682,47139,10139796,0.11478893259910669,0.1638052016559558,235.31731182816873,335.8006633947094,0.04399128879168224,0.07127487425125965,0.10609947949723668,0.15121871458641228,0.18619126877610853,0.07526196911931038,0.270932100713253,0.36179473996162415
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_1,completed,,1.0,ridge_b0_alpha_1,false,true,false,true,54.87104722298682,1310,281787,0.11497084105080935,0.16324922939535977,235.69022415415915,334.6609202604875,0.043719792280930585,0.0715664502209772,0.10413394066025561,0.14985049580605417,0.1863259485305378,0.07606273889541626,0.26951260566711427,0.35892868787050247
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_1,completed,,1.0,ridge_b0_alpha_1,false,true,false,true,54.87104722298682,94458,20300940,0.11812375697184452,0.16965785324667199,242.15370179228125,347.79859915567755,0.044669882013621376,0.07189616287957018,0.10661671377482256,0.15406580921650637,0.1948187638245683,0.07754839584231377,0.27777843177318595,0.3738190010190011
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,non_overlap,overall,,ridge_alpha_1,completed,,1.0,ridge_b0_alpha_1,false,true,false,true,54.87104722298682,2624,563951,0.11681880945028426,0.16827187814274178,239.47855937308273,344.95735019262065,0.04517570434110284,0.07258138701322582,0.10617057168835659,0.1528575189683117,0.19313923149545234,0.07628847658634186,0.2761656641960144,0.370652100071311
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,rolling_origin_no_refit,overall,,ridge_alpha_10,completed,,10.0,ridge_b0_alpha_10,false,true,false,true,55.893716362072155,47139,10139796,0.11478513928756415,0.16380705149718988,235.3095355395065,335.8044555692393,0.0439817557865452,0.0712724233080158,0.10609821232086743,0.15121953890443524,0.1861943180037051,0.07525079697370529,0.2709184382110834,0.3618132472038269
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,val,non_overlap,overall,,ridge_alpha_10,completed,,10.0,ridge_b0_alpha_10,false,true,false,true,55.893716362072155,1310,281787,0.1149667323124189,0.16325026606441173,235.68180124045875,334.66304543204404,0.043710409048690606,0.07156758854792553,0.10413614112108059,0.14985019858270263,0.18632751471123907,0.07607263326644897,0.2695096254348755,0.35897995829582247
kelmarsh,WORLD_MODEL_OFFICIAL_BASELINE,baseline_ridge_residual_persistence_b0_v2,next_6h_from_24h,144,36,sklearn://ridge,runtime-package,site-packages/sklearn/linear_model/_ridge.py,RidgeResidualControl,RidgeResidualAdapter,adapters/residual_controls.py,debug_matrix,3407,val_overall_rmse,B0,residual,true,false,false,false,false,false,false,validation_only,true,,test,rolling_origin_no_refit,overall,,ridge_alpha_10,completed,,10.0,ridge_b0_alpha_10,false,true,false,true,55.893716362072155,94458,20300940,0.11811912307886965,0.1696601300796885,242.1442023116828,347.8032666633614,0.044662350999781955,0.07189903120046494,0.10662088428167214,0.1540684210813966,0.19482059158612758,0.0775374285876751,0.27776861786842355,0.3738496989011766
